Log File,Error Type,Count
Ms_webservices4.log1,BFL Token API Error,46
Ms_webservices4.log11620,BFL Token API Error,88
Ms_webservices4.log11621,BFL Token API Error,29
Ms_webservices4.log11622,BFL Token API Error,87
Ms_webservices4.log11623,BFL Token API Error,16
Ms_webservices4.log11624,BFL Token API Error,47
Ms_webservices4.log11625,BFL Token API Error,66
Ms_webservices4.log11626,BFL Token API Error,23
Ms_webservices4.log11627,BFL Token API Error,59
Ms_webservices4.log11628,BFL Token API Error,63
Ms_webservices4.log11629,BFL Token API Error,26
Ms_webservices4.log11630,BFL Token API Error,67
Ms_webservices4.log11631,BFL Token API Error,48
Ms_webservices4.log11632,BFL Token API Error,19
Ms_webservices4.log11633,BFL Token API Error,65
